GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YOR133W,414.0137572,-8.896410839,1.466152247,-6.067862909,1.30E-09,1.48E-07
YNL014W,19.7344978,-8.238161174,2.227063428,-3.699113852,0.000216354,0.005093853
YER067W,8.542359573,-6.999649617,1.673658019,-4.182246038,2.89E-05,0.000932227
YGL125W,7.769451226,-6.877902053,1.685532104,-4.08055239,4.49E-05,0.001340329
YPR006C,5.490585028,-6.381083518,1.767755828,-3.609708657,0.000306541,0.006654029
YGR161W-C,5.261374411,-6.317319284,1.781557144,-3.545953777,0.000391195,0.007961478
YLR154W-A,3.628448248,-5.965187079,1.971092794,-3.026334984,0.002475379,0.033396756
YBR092C,85.21763912,-5.963952804,1.387603406,-4.298024045,1.72E-05,0.000604152
YHR140W,4.024087288,-5.883828239,1.895715567,-3.103750553,0.001910844,0.027396364
YJL079C,65.20837809,-5.788460844,1.186656332,-4.877958923,1.07E-06,5.60E-05
YMR251W,3.507582941,-5.732095649,1.922664198,-2.981329581,0.002869997,0.036143815
YBR132C,18.44527039,-5.664791522,1.186361342,-4.774929291,1.80E-06,8.89E-05
YCL064C,175.5719465,-5.579098226,0.43605708,-12.79442183,1.76E-37,2.82E-34
YHR136C,27.06953783,-5.53100644,0.972443661,-5.687739723,1.29E-08,1.17E-06
YHL001W,24.95793479,-5.477473417,1.541529934,-3.553270875,0.000380472,0.007876764
YER150W,8.268449471,-5.450826461,1.61815998,-3.368533723,0.000755692,0.013393308
YDR285W,2.736348372,-5.425210726,2.037810926,-2.662273843,0.007761471,0.075768991
YFL021W,14.96075674,-5.366711575,1.216675131,-4.410965128,1.03E-05,0.000383164
YMR303C,334.8741423,-5.350950769,1.064372671,-5.027328223,4.97E-07,2.88E-05
YER190W,19.63314188,-5.336772297,1.476302102,-3.614959492,0.000300395,0.006583158
YGR008C,40.58060958,-5.169610398,0.644289171,-8.023742486,1.03E-15,3.08E-13
YPL198W,22.31326193,-5.160446094,1.529931114,-3.372992447,0.00074356,0.013227105
YJL217W,57.49375321,-4.880026126,0.622711523,-7.836736506,4.62E-15,1.16E-12
YGR234W,590.9028173,-4.823246654,0.331593503,-14.54566092,6.22E-48,1.49E-44
YCR021C,9.828418806,-4.777091987,1.275076755,-3.746513273,0.00017931,0.004327757
YIL111W,7.321931062,-4.775731417,1.623367128,-2.94186776,0.003262392,0.039940219
YML123C,1469.160846,-4.767000964,0.2816488,-16.92533739,2.93E-64,1.41E-60
YDR119W-A,8.534461201,-4.754365777,1.240078637,-3.833922813,0.000126116,0.003188073
YOR212W,4.723620525,-4.631917785,1.74457681,-2.655038035,0.007929947,0.076480992
YGL208W,8.485588548,-4.606916087,1.328791455,-3.466997075,0.000526308,0.01015203
YNL036W,95.96419995,-4.546436102,1.263830497,-3.597346411,0.00032148,0.006862531
YKR039W,7.605282986,-4.397106317,1.397452598,-3.146515541,0.001652285,0.024645726
YDR001C,53.73691157,-4.293226259,0.5422278,-7.917753862,2.42E-15,6.45E-13
YJR096W,9.573131706,-4.067769556,1.133091379,-3.589974851,0.00033071,0.006997355
YNL160W,61.16026094,-3.993984907,0.52127416,-7.661966038,1.83E-14,4.19E-12
YMR170C,11.36217303,-3.993409531,1.025501834,-3.894102768,9.86E-05,0.002558905
YIL011W,32.29843188,-3.982134193,0.683005217,-5.830312999,5.53E-09,5.42E-07
YBR054W,38.71950727,-3.956418405,0.598715821,-6.608174142,3.89E-11,5.34E-09
YDR541C,5.022714161,-3.861789876,1.490327034,-2.591236545,0.009563173,0.086940508
YBR072W,7.731173642,-3.840047959,1.246976381,-3.079487324,0.002073572,0.028951645
YNL134C,187.945067,-3.720798438,0.356898658,-10.42536405,1.90E-25,1.82E-22
YDR533C,25.37742305,-3.720630258,0.693706168,-5.36340951,8.17E-08,6.13E-06
YML100W,73.50190148,-3.702547698,0.440544564,-8.404479374,4.30E-17,1.72E-14
YER079W,6.955791085,-3.691565782,1.238433998,-2.980833687,0.002874649,0.036143815
YMR189W,110.5219766,-3.672909343,0.395140245,-9.2952044,1.47E-20,1.01E-17
YLR286C,358.9285748,-3.576556169,0.29618285,-12.07550055,1.42E-33,1.71E-30
YOR161C,32.88855944,-3.537089168,0.610639654,-5.792432812,6.94E-09,6.53E-07
YIL121W,25.55723128,-3.522580102,0.672586599,-5.237362906,1.63E-07,1.07E-05
YAL061W,17.1749089,-3.488498222,0.795623876,-4.384607257,1.16E-05,0.00042602
YLR258W,33.44654844,-3.478903347,0.583357768,-5.963584503,2.47E-09,2.69E-07
YIL094C,80.26332536,-3.460562574,0.418967586,-8.259738201,1.46E-16,5.01E-14
YDR400W,20.28925162,-3.395328155,0.728692272,-4.659481491,3.17E-06,0.000142298
YOL101C,6.046925763,-3.37080365,1.268833019,-2.656617223,0.007892901,0.076430647
YOR130C,9.899405027,-3.349570343,1.004731606,-3.333796135,0.000856694,0.014801088
YLR178C,14.38388725,-3.338448313,0.856200015,-3.899145357,9.65E-05,0.002545699
YFL014W,5.766933186,-3.330405036,1.285478455,-2.59079024,0.009575584,0.086940508
YER037W,14.2030837,-3.301575487,0.851423663,-3.877711687,0.000105444,0.002693859
YGR254W,3335.396413,-3.29768034,0.671492825,-4.910968839,9.06E-07,4.84E-05
YHR022C,7.102173064,-3.292475293,1.129844976,-2.914094732,0.003567216,0.04262025
YBR208C,15.36217437,-3.237213321,0.82092942,-3.943351574,8.04E-05,0.00213218
YPL216W,6.58067684,-3.186979408,1.218817439,-2.614812775,0.008927638,0.08277885
YOR020W-A,10.3135027,-3.179260082,0.973383844,-3.266193603,0.001090037,0.017530826
YPR184W,11.58773923,-3.170366693,0.91732789,-3.456088852,0.000548075,0.010404753
YPR160W,16.83705963,-3.157723101,0.816552157,-3.86714195,0.000110118,0.002798404
YDL182W,75.68375899,-3.139884644,0.423688486,-7.410833072,1.26E-13,2.51E-11
YGR019W,35.15560427,-3.100765258,0.553009916,-5.607069906,2.06E-08,1.76E-06
YER010C,9.478985114,-3.062866191,0.977477297,-3.133439724,0.001727704,0.025454486
YGL156W,6.11942162,-3.051005004,1.2044603,-2.53308889,0.011306228,0.097975109
YBR052C,31.1701203,-3.003601211,0.569177002,-5.277095176,1.31E-07,9.15E-06
YDR406W,23.0046986,-2.964115377,0.714742638,-4.147108653,3.37E-05,0.001062001
YOR028C,17.05406914,-2.920983166,0.77512353,-3.768409878,0.000164291,0.004067467
YCR005C,160.2980257,-2.915571855,0.358446633,-8.133907786,4.16E-16,1.33E-13
YLR303W,252.6417296,-2.911593631,0.303191929,-9.603137013,7.75E-22,6.21E-19
