GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YNL143C,210.9552968,-11.65716373,2.315429254,11.92171945,0.000554832,0.01946567
YGL088W,1083.79589,-10.69595792,1.43554785,160.5858221,8.43E-37,4.58E-33
YCR024C-B,17.71676587,-10.58664828,2.562051727,10.277709,0.00134647,0.035207834
YNL303W,7.168175398,-9.717632079,2.634239381,8.610783845,0.003341785,0.067306016
YKR105C,7.298352203,-9.259008239,2.597815679,11.386245,0.000739899,0.023392868
YJL213W,114.662787,-7.799643036,1.48112056,76.90283089,1.80E-18,4.88E-15
YOR178C,26.9285361,-7.616228696,1.572377918,39.62431639,3.08E-10,1.39E-07
YDL231C,134.5988145,-5.367610353,1.36365698,40.33294482,2.14E-10,1.06E-07
YJL108C,28.94478703,-5.016352692,1.533105435,15.41642242,8.62E-05,0.005517049
YKL187C,24.29229835,-4.952885373,1.444370491,20.95827283,4.69E-06,0.00049088
YBR018C,10.61298983,-4.950089338,1.702376081,9.84563379,0.001702353,0.041143988
YLR411W,85.16180845,-4.797447436,1.512301054,14.73776822,0.000123546,0.006789498
YGL194C-A,5.787838322,-4.681967853,1.752897673,8.129164273,0.004355882,0.078921598
YBR083W,29.95643014,-4.574607254,1.419593151,19.02287296,1.29E-05,0.001114884
YPL165C,29.44299912,-4.546770643,1.607771496,9.68238639,0.001860428,0.044179081
YHL043W,39.51817786,-4.515617838,1.547573803,11.2828151,0.000782278,0.02458977
YOR032C,32.91999478,-4.393935623,1.536426455,10.87716009,0.000973574,0.028773349
YLR046C,129.5954704,-4.311983803,1.356851816,22.69365836,1.90E-06,0.000229597
YGR213C,110.0279095,-4.310891015,1.498473685,11.63295311,0.000647936,0.021354401
YOL029C,32.82818527,-4.252072573,1.525490634,10.33400342,0.001306016,0.034644469
YMR068W,27.4144566,-4.072541554,1.431545666,13.48018214,0.000241096,0.010488658
YML081C-A,17.3722802,-4.011926751,1.578800442,7.909667086,0.004917132,0.085157206
YDR444W,43.7237249,-4.009979039,1.399562276,14.79849665,0.000119631,0.006706726
YGR121C,34.70268714,-3.936505362,1.178511564,17.06191225,3.62E-05,0.002658793
YOR180C,22.5203717,-3.669967017,1.181993564,14.38383236,0.000149077,0.007794996
YPL052W,29.80282215,-3.597072228,0.894019444,18.73251539,1.50E-05,0.001277896
YML054C,33.56420414,-3.514766764,1.139979287,15.00560302,0.000107192,0.006268116
YCR073C,50.51900016,-3.381701778,0.72969702,27.69077369,1.42E-07,2.76E-05
YNR060W,222.443751,-3.368289462,0.890473547,25.0572853,5.57E-07,7.96E-05
YPL088W,162.4351302,-3.284055767,0.815535553,24.71259794,6.65E-07,9.05E-05
YML002W,77.44968238,-3.269350713,1.087745092,15.91800971,6.61E-05,0.004496295
YDL197C,46.82672415,-3.23376428,1.003433023,13.71805095,0.000212403,0.009848471
YBR008C,75.22176783,-3.180871492,0.917888911,18.69576955,1.53E-05,0.001282718
