"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YNL143C",1232.73546686562,-11.7332863425746,1.46202716224867,-8.0253545525982,1.01233134106013e-15,4.04783664168014e-14
"YLR154W-A",50.2579627767002,-9.00444947191988,1.5003578482612,-6.00153455547647,1.9546133230111e-09,3.03691064300982e-08
"YOR133W",580.009636072698,-8.53589838776525,1.45676930046435,-5.85947163016438,4.64342201614642e-09,6.80618030291219e-08
"YKR105C",41.099370188759,-8.09598935247646,1.50857278597863,-5.36665477975231,8.02103701185295e-08,8.95655015820459e-07
"YCR024C-B",103.68034091777,-8.01514636580611,1.47429086913398,-5.43661127774216,5.43034302758114e-08,6.41960986608397e-07
"YHR145C",68.6058868326821,-7.19028767370205,1.49941246866279,-4.79540341565555,1.6234777792957e-06,1.35614011732873e-05
"YHL001W",100.9603927937,-6.65104174056953,1.47433369629474,-4.51121869986744,6.44562212528001e-06,4.65488620415308e-05
"YNL303W",41.9400978300078,-6.27256478306936,1.50384333688764,-4.17102275829547,3.03235572420187e-05,0.000187173103611916
"YPR192W",20.6287340932899,-6.04341638044558,1.4639258592069,-4.12822571746883,3.65573167694879e-05,0.000221873536375531
"YGL208W",87.4072658327826,-5.82847378801636,0.729234028814923,-7.9925971056071,1.32125367193949e-15,5.24450910073501e-14
"YER085C",5.53122412960602,-5.56114588828287,1.82527242482244,-3.04674842651166,0.00231331232080354,0.00812648087889511
"YER066C-A",6.97551350387933,-5.55066953909197,1.74857964501916,-3.17438759790158,0.00150153034330439,0.00561190515937407
"YHR136C",218.181547695186,-5.456026194741,0.460502353928466,-11.8479876339319,2.20420509611531e-32,4.79458692507002e-30
"YGR182C",29.2021278194792,-5.29084869519929,1.52399600095906,-3.47169460541217,0.00051718432494994,0.00224816015913491
"YNL336W",35.5942170105437,-5.23891855286462,1.51179680647954,-3.46535892284645,0.000529524262674732,0.00229263769142133
"YPR202W",32.422147115352,-5.17821814135431,1.51765783813383,-3.41197996758059,0.000644928525561671,0.00272292028105929
"YLL046C",3.77173060030564,-5.00799562752611,1.98039290280848,-2.5287889188171,0.0114456839530323,0.0317758154375874
"YAL061W",260.708845927302,-4.93744355093485,0.379591782218408,-13.0072456312923,1.11281238323449e-38,4.65497980002242e-36
"YFL030W",45.710559388846,-4.92398950247685,0.785045795495694,-6.27223218152228,3.55908309936273e-10,6.32493264520736e-09
"YLR252W",9.91975297633774,-4.85470185715646,1.66057928015639,-2.92349899530196,0.00346121342290422,0.0114908904723768
"YER067W",34.7334676122556,-4.84732500610574,0.877555979070489,-5.52366472534327,3.32000728586889e-08,4.17921287512848e-07
"YPR145C-A",2.1421291010362,-4.68551482306183,2.34115754375068,-2.00136673226841,0.0453528830718961,0.0997690041039527
"YDR095C",4.50828933351997,-4.6201313016177,1.88804516520088,-2.4470449048427,0.0144032892818884,0.0386218378278644
"YLR294C",25.0214887552724,-4.61930538439416,1.44790546562786,-3.19033631273094,0.00142107316446897,0.00533319245575035
"YHR039C-A",22.2874355581147,-4.56032935121421,1.54552255181292,-2.95067150321738,0.00317083953164278,0.0106966658641895
"YHR140W",42.5299477269733,-4.51556706032343,0.740644445325427,-6.09680810923974,1.08207280828674e-09,1.76706064007907e-08
"YBL071C",11.7151218190722,-4.47970041964796,1.6289737220142,-2.75001392539892,0.00595927321198749,0.0181956921542886
"YIL100W",2.89805137069504,-4.47656594140199,2.12656733199075,-2.10506663676214,0.0352855079199491,0.0815480629276173
"YDR070C",9.13811552918053,-4.46725687102458,1.37235325656188,-3.25517999805406,0.00113320520246071,0.00438220216497718
"YKR039W",79.1827295524449,-4.43192263139713,0.555352440785819,-7.98037841541849,1.45885340091083e-15,5.74872811170513e-14
"YLR053C",12.9648278165131,-4.41931739213301,1.28457827331868,-3.44028657803451,0.000581098534556293,0.00249803464894634
"YIL060W",13.5109297919166,-4.37202489699159,1.60861662243616,-2.71787872636203,0.00657019148718565,0.0199045689734349
"YKL223W",2.64015829928421,-4.34025627001472,2.15889434235225,-2.01040698697915,0.0443881316005581,0.0980035158927465
"YDR001C",505.194815849623,-4.31530571594627,0.265836905256898,-16.2329068335191,2.95145101622133e-59,3.20999812524232e-56
"YFL014W",32.7552276515365,-4.25286661251646,0.808008652395508,-5.26339241530144,1.4142127767784e-07,1.4704568030824e-06
"YGL168W",10.2102623685642,-4.2420136444903,1.65761348291125,-2.55910903731315,0.0104940820629154,0.0296605084501735
"YCL064C",1773.50492544908,-4.22594465157399,0.197460246743197,-21.4014958518205,1.29389671142009e-101,7.03621031670245e-98
"YCL040W",1879.65156969027,-4.19833469866525,0.677647038023075,-6.19545938090898,5.81152789673391e-10,1.00009774374807e-08
"YDR533C",281.057668197829,-4.19675616839555,0.794400646010506,-5.28292139422561,1.2713995289576e-07,1.33730573277977e-06
"YPL198W",202.667086199957,-4.10807748059617,1.60479797927714,-2.55987204224086,0.0104710709479169,0.0296108600180823
"YNL170W",9.66559764709823,-4.07335344153631,1.66099121073215,-2.45236303191563,0.0141921398183306,0.0381497065408215
"YOR100C",20.99525940553,-4.04987197674044,0.933867478552776,-4.33666667889171,1.44659738980525e-05,9.61686626621142e-05
"YLR269C",6.38206252119868,-4.047501507549,1.76846921743703,-2.28870339819366,0.0220965914527222,0.0552465583080014
"YBR054W",184.732630771345,-4.03557453458279,0.354089114649678,-11.3970590103439,4.32483176763188e-30,8.10980522495937e-28
"YAL054C",43.6947697349403,-4.00856516229158,0.664777592662777,-6.02993423144003,1.64026417469103e-09,2.57796433004908e-08
"YML100W",492.53048879867,-4.00736875494306,0.271627401783123,-14.7531829581122,2.93489849577963e-49,1.9949972525062e-46
"YMR133W",34.8749173429942,-4.00255237378932,0.746686179143719,-5.36042113218079,8.30281691843948e-08,9.19566566241831e-07
"YOR015W",8.54951806869805,-3.99306737609426,1.6879851593617,-2.36558203959815,0.0180017543823109,0.0463950428109037
"YJL161W",39.2309986740504,-3.98672338087002,0.691063416561339,-5.7689689329925,7.97580047034526e-09,1.12363738232481e-07
"YJL077C",5.44177684888741,-3.95242691042953,1.82846794554131,-2.16160579684619,0.0306485742641811,0.0723380845697122
"YNL134C",1428.21074445913,-3.9445966113575,0.246093895588248,-16.0288275413276,8.03851204787136e-58,7.28557141938741e-55
"YOR300W",6.62285927953333,-3.92998744398675,1.75150685533345,-2.24377508544696,0.0248468762068187,0.0607815172346738
"YKL084W",34.1343234237219,-3.88948537658762,0.719210314285537,-5.40799443407792,6.3734404824015e-08,7.29658301964197e-07
"YPL282C",5.97437510175343,-3.87160954977669,1.70495356088268,-2.27080058871064,0.0231590523065374,0.0573418622183316
"YOR170W",5.61854948220993,-3.86244113755859,1.81056545198476,-2.13327893411671,0.0329018512534966,0.0768888126843637
"YPR146C",7.57386371084928,-3.85399755474774,1.71522303742505,-2.24693667858699,0.0246440742035025,0.0604213144809047
"YDR461C-A",8.71001006088655,-3.83893871564464,1.37715137908546,-2.78759385057147,0.00531010708846109,0.0165196580932788
"YBR052C",204.014514847722,-3.83427423918031,0.33630087559078,-11.4013210118607,4.11822207698817e-30,7.9981755909506e-28
"YLR258W",635.469720140582,-3.81192900078705,0.240693187835163,-15.8372949191966,1.7206517340607e-56,1.33670058997458e-53
"YGR234W",2331.88339220186,-3.80092984720456,0.205559710664301,-18.4906362969729,2.45638856110666e-76,6.678920497649e-73
"YBL109W",6.17204019641352,-3.71675713445874,1.4566178666435,-2.55163500295606,0.0107218776422077,0.0301944954004792
"YKR053C",132.293464522118,-3.70392841970301,0.382072880075511,-9.69429816366705,3.18822060855805e-22,2.47679195276267e-20
"YCR018C",44.8947769949589,-3.69664004724744,0.627808455436596,-5.88816543523085,3.9050611819395e-09,5.83398975477666e-08
"YBL113C",30.6947500249003,-3.6925628770236,1.52017182885764,-2.42904309034488,0.015138732969464,0.0400800534994864
"YNL196C",27.1001353632344,-3.52471548072852,0.756017613457096,-4.66221344316412,3.12826496059032e-06,2.42674819624682e-05
"YHR139C",27.8343487533936,-3.47598251549198,0.741763851052117,-4.68610395419196,2.78454869252911e-06,2.2073434096171e-05
"YDR119W-A",12.3639694520756,-3.42472342612373,0.978988788036778,-3.49822538110117,0.000468365153894424,0.00206372294463047
"YOR173W",80.9848998088581,-3.4209551357456,0.485566363835106,-7.04528853425137,1.85077588564434e-12,4.6811717516902e-11
"YOL082W",382.121497469962,-3.4175726011143,0.274651991629611,-12.4432835197611,1.52119491057438e-35,4.13612896185175e-33
"YNL036W",840.929382298412,-3.40284591568369,1.39166817431482,-2.44515609287327,0.0144789462000535,0.0387864578501926
"YGR044C",38.5040179214052,-3.36044523890898,0.639255543816837,-5.25681047495435,1.46575227233539e-07,1.51741450893961e-06
"YKL026C",19.1035084344366,-3.31564854460082,0.859968446887891,-3.85554674313889,0.00011547126325792,0.000605528186689073
"YPR006C",57.9594972896822,-3.3004749783481,0.517035967451274,-6.38345334971138,1.73138356393766e-10,3.23548584903539e-09
"YMR251W",74.4220954918364,-3.2293301124815,0.472565488455444,-6.83361394636837,8.28016690591248e-12,1.94895389379783e-10
"YMR250W",453.361266124899,-3.22779866872866,0.248776680054422,-12.9746834310296,1.70298491783198e-38,6.61487998797879e-36
"YJL079C",209.915855223168,-3.21834432415653,0.311522196266678,-10.3310273320026,5.10112904896886e-25,5.43920387613582e-23
"YJL217W",355.782118084302,-3.21322817636976,0.802768477366038,-4.00268354695824,6.26280464470815e-05,0.000356246147049403
"YER150W",33.3035993250957,-3.16704368136289,0.676307557943683,-4.68284531817492,2.82920010189827e-06,2.23043397847934e-05
"YGR043C",25.5240368515305,-3.16426267601712,0.741987547975775,-4.26457652106101,2.00281697584639e-05,0.000128435362201093
"YDR193W",5.07852236608781,-3.15522317602222,1.57063118217021,-2.00888866325862,0.0445489424680853,0.0982389088164833
